"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1622636959,0,1,0,0,0,1591,2567,3263,5136,1567,2533,3215,5068,24,34,48,68
1622636960,0,0,0,0,0,1623,2613,3327,5228,1591,2567,3263,5136,32,46,64,92
1622636961,0,0,0,0,0,1656,2659,3393,5320,1623,2613,3327,5228,33,46,66,92
1622636962,0,0,0,0,0,1687,2705,3455,5412,1656,2659,3393,5320,31,46,62,92
1622636963,0,0,0,0,0,1712,2740,3505,5482,1687,2705,3455,5412,25,35,50,70
1622636964,0,0,0,0,0,1724,2784,3556,5570,1712,2740,3505,5482,12,44,51,88
1622636965,0,0,0,0,0,1741,2829,3606,5660,1724,2784,3556,5570,17,45,50,90
1622636966,0,0,0,0,0,1767,2874,3658,5750,1741,2829,3606,5660,26,45,52,90
1622636967,0,0,0,0,0,1786,2909,3696,5820,1767,2874,3658,5750,19,35,38,70
1622636968,0,0,0,0,0,1798,2955,3731,5912,1786,2909,3696,5820,12,46,35,92
1622636969,0,0,0,0,0,1813,3003,3771,6008,1798,2955,3731,5912,15,48,40,96
1622636970,0,0,0,0,0,1827,3034,3799,6070,1813,3003,3771,6008,14,31,28,62
1622636972,0,0,0,0,0,1836,3058,3817,6118,1827,3034,3799,6070,9,24,18,48
1622636973,0,0,0,0,0,1872,3128,3900,6259,1836,3058,3817,6118,36,70,83,141
1622636974,0,0,0,0,0,1890,3173,3936,6349,1872,3128,3900,6259,18,45,36,90
1622636975,0,0,0,0,0,1910,3221,3976,6445,1890,3173,3936,6349,20,48,40,96
1622636976,0,0,0,0,0,1931,3268,4016,6540,1910,3221,3976,6445,21,47,40,95
1622636977,0,0,0,0,0,1945,3304,4046,6612,1931,3268,4016,6540,14,36,30,72
1622636978,0,0,0,0,0,1966,3352,4086,6708,1945,3304,4046,6612,21,48,40,96
1622636979,0,0,0,0,0,1980,3387,4116,6778,1966,3352,4086,6708,14,35,30,70
1622636980,0,0,0,0,0,2001,3435,4156,6874,1980,3387,4116,6778,21,48,40,96
1622636981,0,0,0,0,0,2021,3483,4196,6970,2001,3435,4156,6874,20,48,40,96
1622636982,0,0,0,0,0,2035,3519,4226,7042,2021,3483,4196,6970,14,36,30,72
1622636983,0,0,0,0,0,2056,3567,4266,7138,2035,3519,4226,7042,21,48,40,96
1622636984,0,0,0,0,0,2070,3603,4296,7210,2056,3567,4266,7138,14,36,30,72
1622636985,0,0,0,0,0,2091,3653,4338,7310,2070,3603,4296,7210,21,50,42,100
1622636986,0,0,0,0,0,2111,3698,4376,7400,2091,3653,4338,7310,20,45,38,90
1622636987,0,0,0,0,0,2126,3734,4406,7472,2111,3698,4376,7400,15,36,30,72
1622636988,0,0,0,0,0,2145,3782,4446,7568,2126,3734,4406,7472,19,48,40,96
1622636989,0,0,0,0,0,2161,3818,4476,7640,2145,3782,4446,7568,16,36,30,72
1622636990,0,0,0,0,0,2180,3866,4516,7736,2161,3818,4476,7640,19,48,40,96
1622636991,0,0,0,0,0,2201,3914,4556,7832,2180,3866,4516,7736,21,48,40,96
1622636992,0,0,0,0,0,2216,3950,4586,7904,2201,3914,4556,7832,15,36,30,72
1622636993,0,0,0,0,0,2236,3998,4626,8000,2216,3950,4586,7904,20,48,40,96
1622636994,0,0,0,0,0,2250,4033,4656,8070,2236,3998,4626,8000,14,35,30,70
1622636995,0,0,0,0,0,2271,4081,4696,8166,2250,4033,4656,8070,21,48,40,96
1622636996,0,0,0,0,0,2291,4129,4736,8262,2271,4081,4696,8166,20,48,40,96
1622636997,0,0,0,0,0,2306,4165,4766,8334,2291,4129,4736,8262,15,36,30,72
1622636998,0,0,0,0,0,2325,4213,4806,8430,2306,4165,4766,8334,19,48,40,96
1622636999,0,0,0,0,0,2341,4249,4836,8502,2325,4213,4806,8430,16,36,30,72
1622637000,0,0,0,0,0,2360,4297,4876,8598,2341,4249,4836,8502,19,48,40,96
1622637001,0,0,0,0,0,2380,4344,4916,8692,2360,4297,4876,8598,20,47,40,94
1622637002,0,0,0,0,0,2396,4380,4946,8764,2380,4344,4916,8692,16,36,30,72
1622637003,0,0,0,0,0,2415,4428,4986,8860,2396,4380,4946,8764,19,48,40,96
1622637004,0,0,0,0,0,2430,4463,5016,8931,2415,4428,4986,8860,15,35,30,71
1622637005,0,0,0,0,0,2450,4511,5056,9027,2430,4463,5016,8931,20,48,40,96
1622637006,0,0,0,0,0,2471,4559,5096,9123,2450,4511,5056,9027,21,48,40,96
1622637007,0,0,0,0,0,2486,4595,5126,9195,2471,4559,5096,9123,15,36,30,72
1622637008,0,0,0,0,0,2505,4642,5166,9290,2486,4595,5126,9195,19,47,40,95
1622637009,0,0,0,0,0,2520,4677,5196,9360,2505,4642,5166,9290,15,35,30,70
1622637010,0,0,0,0,0,2540,4725,5236,9456,2520,4677,5196,9360,20,48,40,96
1622637011,0,0,0,0,0,2560,4773,5276,9552,2540,4725,5236,9456,20,48,40,96
1622637012,0,0,0,0,0,2576,4809,5306,9624,2560,4773,5276,9552,16,36,30,72
1622637013,0,0,0,0,0,2596,4857,5346,9720,2576,4809,5306,9624,20,48,40,96
1622637014,0,0,0,0,0,2610,4893,5376,9792,2596,4857,5346,9720,14,36,30,72
1622637015,0,0,0,0,0,2630,4941,5416,9888,2610,4893,5376,9792,20,48,40,96
1622637016,0,0,0,0,0,2650,4988,5456,9982,2630,4941,5416,9888,20,47,40,94
1622637017,0,0,0,0,0,2666,5024,5486,10054,2650,4988,5456,9982,16,36,30,72
