"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1625762540,0,0,0,0,0,1076,2504,2306,5012,1056,2456,2266,4916,20,48,40,96
1625762543,0,0,0,0,0,1090,2535,2334,5074,1076,2504,2306,5012,14,31,28,62
1625762544,0,0,0,0,0,1139,2628,2405,5260,1090,2535,2334,5074,49,93,71,186
1625762545,0,0,0,0,0,1154,2664,2435,5332,1139,2628,2405,5260,15,36,30,72
1625762546,0,0,0,0,0,1174,2712,2475,5428,1154,2664,2435,5332,20,48,40,96
1625762547,0,0,0,0,0,1189,2747,2505,5499,1174,2712,2475,5428,15,35,30,71
1625762548,0,0,0,0,0,1209,2795,2545,5595,1189,2747,2505,5499,20,48,40,96
1625762549,0,0,0,0,0,1229,2843,2585,5691,1209,2795,2545,5595,20,48,40,96
1625762550,0,0,0,0,0,1244,2879,2615,5763,1229,2843,2585,5691,15,36,30,72
1625762551,0,0,0,0,0,1255,2903,2637,5813,1244,2879,2615,5763,11,24,22,50
1625762552,0,0,0,0,0,1278,2971,2686,5949,1255,2903,2637,5813,23,68,49,136
1625762553,0,0,0,0,0,1291,3007,2716,6021,1278,2971,2686,5949,13,36,30,72
1625762554,0,0,0,0,0,1311,3055,2756,6117,1291,3007,2716,6021,20,48,40,96
1625762556,0,0,0,0,0,1324,3086,2782,6179,1311,3055,2756,6117,13,31,26,62
1625762557,0,0,0,0,0,1365,3183,2864,6374,1324,3086,2782,6179,41,97,82,195
1625762558,0,0,0,0,0,1380,3219,2894,6446,1365,3183,2864,6374,15,36,30,72
1625762559,0,0,0,0,0,1400,3267,2934,6542,1380,3219,2894,6446,20,48,40,96
1625762560,0,0,0,0,0,1415,3300,2964,6608,1400,3267,2934,6542,15,33,30,66
1625762561,0,0,0,0,0,1430,3336,2994,6680,1415,3300,2964,6608,15,36,30,72
1625762562,0,0,0,0,0,1456,3401,3046,6810,1430,3336,2994,6680,26,65,52,130
1625762563,0,0,0,0,0,1471,3437,3076,6882,1456,3401,3046,6810,15,36,30,72
1625762564,0,0,0,0,0,1491,3484,3116,6976,1471,3437,3076,6882,20,47,40,94
1625762565,0,0,0,0,0,1506,3520,3146,7048,1491,3484,3116,6976,15,36,30,72
1625762566,0,0,0,0,0,1526,3568,3186,7144,1506,3520,3146,7048,20,48,40,96
