"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621899351,0,0,0,0,0,1626,2629,3344,5260,1578,2545,3245,5092,48,84,99,168
1621899352,0,1,0,0,0,1651,2657,3394,5316,1626,2629,3344,5260,25,28,50,56
1621899353,0,0,0,0,0,1685,2716,3462,5434,1651,2657,3394,5316,34,59,68,118
1621899354,0,0,0,0,0,1717,2760,3526,5522,1685,2716,3462,5434,32,44,64,88
1621899355,0,0,0,0,0,1748,2796,3588,5594,1717,2760,3526,5522,31,36,62,72
1621899356,0,0,0,0,0,1775,2843,3642,5688,1748,2796,3588,5594,27,47,54,94
1621899357,0,0,0,0,0,1807,2889,3706,5780,1775,2843,3642,5688,32,46,64,92
1621899358,0,0,0,0,0,1835,2929,3762,5860,1807,2889,3706,5780,28,40,56,80
1621899359,0,0,0,0,0,1867,2975,3826,5952,1835,2929,3762,5860,32,46,64,92
1621899360,0,0,0,0,0,1898,3021,3890,6044,1867,2975,3826,5952,31,46,64,92
1621899361,0,0,0,0,0,1922,3056,3938,6114,1898,3021,3890,6044,24,35,48,70
1621899362,0,0,0,0,0,1954,3102,4002,6206,1922,3056,3938,6114,32,46,64,92
1621899363,0,0,0,0,0,1986,3148,4066,6298,1954,3102,4002,6206,32,46,64,92
1621899364,0,0,0,0,0,2018,3194,4130,6390,1986,3148,4066,6298,32,46,64,92
1621899365,0,0,0,0,0,2042,3228,4178,6458,2018,3194,4130,6390,24,34,48,68
1621899366,0,0,0,0,0,2072,3263,4238,6528,2042,3228,4178,6458,30,35,60,70
1621899367,0,0,0,0,0,2108,3323,4310,6648,2072,3263,4238,6528,36,60,72,120
1621899368,0,0,0,0,0,2136,3363,4366,6728,2108,3323,4310,6648,28,40,56,80
1621899369,0,1,0,0,0,2168,3409,4430,6820,2136,3363,4366,6728,32,46,64,92
1621899370,0,0,0,0,0,2192,3443,4478,6888,2168,3409,4430,6820,24,34,48,68
1621899371,0,0,0,0,0,2224,3489,4542,6980,2192,3443,4478,6888,32,46,64,92
1621899372,0,0,0,0,0,2256,3535,4606,7072,2224,3489,4542,6980,32,46,64,92
1621899373,0,0,0,0,0,2288,3581,4670,7164,2256,3535,4606,7072,32,46,64,92
1621899374,0,0,0,0,0,2312,3616,4718,7234,2288,3581,4670,7164,24,35,48,70
1621899375,0,0,0,0,0,2344,3662,4782,7326,2312,3616,4718,7234,32,46,64,92
1621899376,0,0,0,0,0,2376,3708,4846,7418,2344,3662,4782,7326,32,46,64,92
1621899377,0,0,0,0,0,2408,3753,4910,7508,2376,3708,4846,7418,32,45,64,90
1621899378,0,0,0,0,0,2432,3788,4958,7578,2408,3753,4910,7508,24,35,48,70
1621899379,0,0,0,0,0,2464,3834,5022,7670,2432,3788,4958,7578,32,46,64,92
1621899380,0,0,0,0,0,2496,3880,5086,7762,2464,3834,5022,7670,32,46,64,92
1621899381,0,0,0,0,0,2528,3926,5150,7854,2496,3880,5086,7762,32,46,64,92
1621899382,0,0,0,0,0,2552,3960,5198,7922,2528,3926,5150,7854,24,34,48,68
1621899383,0,0,0,0,0,2584,4006,5262,8014,2552,3960,5198,7922,32,46,64,92
1621899384,0,0,0,0,0,2616,4052,5326,8106,2584,4006,5262,8014,32,46,64,92
1621899385,0,0,0,0,0,2648,4098,5390,8198,2616,4052,5326,8106,32,46,64,92
1621899386,0,0,0,0,0,2672,4132,5438,8266,2648,4098,5390,8198,24,34,48,68
1621899387,0,0,0,0,0,2704,4178,5502,8358,2672,4132,5438,8266,32,46,64,92
1621899388,0,0,0,0,0,2735,4224,5566,8450,2704,4178,5502,8358,31,46,64,92
1621899389,0,0,0,0,0,2767,4270,5630,8542,2735,4224,5566,8450,32,46,64,92
1621899390,0,0,0,0,0,2791,4305,5678,8612,2767,4270,5630,8542,24,35,48,70
1621899391,0,1,0,0,0,2823,4352,5742,8706,2791,4305,5678,8612,32,47,64,94
1621899392,0,0,0,0,0,2855,4397,5806,8796,2823,4352,5742,8706,32,45,64,90
1621899393,0,0,0,0,0,2887,4443,5870,8888,2855,4397,5806,8796,32,46,64,92
1621899394,0,0,0,0,0,2911,4477,5918,8956,2887,4443,5870,8888,24,34,48,68
1621899395,0,0,0,0,0,2943,4523,5982,9048,2911,4477,5918,8956,32,46,64,92
1621899396,0,0,0,0,0,2975,4569,6046,9140,2943,4523,5982,9048,32,46,64,92
1621899397,0,0,0,0,0,3007,4615,6110,9232,2975,4569,6046,9140,32,46,64,92
1621899398,0,0,0,0,0,3030,4645,6157,9293,3007,4615,6110,9232,23,30,47,61
1621899399,0,0,0,0,0,3035,4692,6203,9387,3030,4645,6157,9293,5,47,46,94
1621899400,0,0,0,0,0,3057,4742,6255,9487,3035,4692,6203,9387,22,50,52,100
1621899401,0,0,0,0,0,3083,4785,6307,9573,3057,4742,6255,9487,26,43,52,86
1621899402,0,0,0,0,0,3096,4810,6333,9623,3083,4785,6307,9573,13,25,26,50
1621899403,0,0,0,0,0,3128,4866,6397,9735,3096,4810,6333,9623,32,56,64,112
1621899404,0,0,0,0,0,3155,4914,6449,9831,3128,4866,6397,9735,27,48,52,96
1621899405,0,0,0,0,0,3174,4948,6487,9899,3155,4914,6449,9831,19,34,38,68
1621899406,0,0,0,0,0,3201,4989,6543,9982,3174,4948,6487,9899,27,41,56,83
1621899407,0,0,0,0,0,3226,5034,6593,10072,3201,4989,6543,9982,25,45,50,90
1621899408,0,0,0,0,0,3251,5080,6643,10164,3226,5034,6593,10072,25,46,50,92
1621899409,0,0,0,0,0,3271,5114,6683,10232,3251,5080,6643,10164,20,34,40,68
1621899410,0,0,0,0,0,3291,5147,6721,10299,3271,5114,6683,10232,20,33,38,67
1621899411,0,0,0,0,0,3322,5205,6785,10415,3291,5147,6721,10299,31,58,64,116
1621899412,0,0,0,0,0,3342,5241,6825,10487,3322,5205,6785,10415,20,36,40,72
1621899413,0,0,0,0,0,3369,5287,6877,10579,3342,5241,6825,10487,27,46,52,92
1621899414,0,0,0,0,0,3388,5334,6918,10673,3369,5287,6877,10579,19,47,41,94
1621899415,0,0,0,0,0,3398,5380,6956,10765,3388,5334,6918,10673,10,46,38,92
1621899417,0,0,0,0,0,3399,5382,6960,10769,3398,5380,6956,10765,1,2,4,4
1621899418,0,0,0,0,0,3439,5504,7048,11013,3399,5382,6960,10769,40,122,88,244
1621899419,0,0,0,0,0,3447,5549,7100,11103,3439,5504,7048,11013,8,45,52,90
1621899420,0,0,0,0,0,3449,5551,7106,11107,3447,5549,7100,11103,2,2,6,4
1621899421,0,0,0,0,0,3483,5628,7176,11261,3449,5551,7106,11107,34,77,70,154
1621899422,0,1,0,0,0,3506,5671,7222,11348,3483,5628,7176,11261,23,43,46,87
1621899423,0,0,0,0,0,3511,5719,7258,11444,3506,5671,7222,11348,5,48,36,96
1621899424,0,0,0,0,0,3523,5755,7288,11516,3511,5719,7258,11444,12,36,30,72
1621899425,0,0,0,0,0,3542,5802,7328,11610,3523,5755,7288,11516,19,47,40,94
1621899426,0,0,0,0,0,3562,5849,7368,11705,3542,5802,7328,11610,20,47,40,95
1621899427,0,0,0,0,0,3577,5885,7398,11777,3562,5849,7368,11705,15,36,30,72
1621899428,0,0,0,0,0,3597,5933,7438,11873,3577,5885,7398,11777,20,48,40,96
1621899429,0,0,0,0,0,3612,5969,7468,11945,3597,5933,7438,11873,15,36,30,72
1621899430,0,0,0,0,0,3633,6017,7510,12041,3612,5969,7468,11945,21,48,42,96
1621899431,0,0,0,0,0,3652,6065,7548,12137,3633,6017,7510,12041,19,48,38,96
1621899432,0,0,0,0,0,3667,6100,7578,12207,3652,6065,7548,12137,15,35,30,70
1621899433,0,0,0,0,0,3685,6148,7618,12303,3667,6100,7578,12207,18,48,40,96
1621899434,0,0,0,0,0,3690,6175,7640,12357,3685,6148,7618,12303,5,27,22,54
1621899435,0,0,0,0,0,3713,6230,7686,12467,3690,6175,7640,12357,23,55,46,110
1621899436,0,0,0,0,0,3733,6278,7726,12563,3713,6230,7686,12467,20,48,40,96
1621899437,0,0,0,0,0,3748,6313,7756,12633,3733,6278,7726,12563,15,35,30,70
1621899438,0,0,0,0,0,3768,6361,7796,12729,3748,6313,7756,12633,20,48,40,96
1621899439,0,0,0,0,0,3788,6409,7836,12825,3768,6361,7796,12729,20,48,40,96
1621899440,0,0,0,0,0,3802,6443,7864,12893,3788,6409,7836,12825,14,34,28,68
1621899441,0,0,0,0,0,3822,6490,7904,12987,3802,6443,7864,12893,20,47,40,94
1621899442,0,0,0,0,0,3842,6538,7944,13083,3822,6490,7904,12987,20,48,40,96
1621899443,0,0,0,0,0,3857,6574,7974,13155,3842,6538,7944,13083,15,36,30,72
1621899444,0,0,0,0,0,3877,6622,8014,13251,3857,6574,7974,13155,20,48,40,96
1621899445,0,0,0,0,0,3892,6658,8044,13323,3877,6622,8014,13251,15,36,30,72
1621899446,0,0,0,0,0,3914,6711,8088,13429,3892,6658,8044,13323,22,53,44,106
1621899447,0,0,0,0,0,3929,6746,8118,13499,3914,6711,8088,13429,15,35,30,70
1621899448,0,0,0,0,0,3949,6794,8158,13595,3929,6746,8118,13499,20,48,40,96
1621899449,0,0,0,0,0,3964,6830,8188,13667,3949,6794,8158,13595,15,36,30,72
1621899450,0,0,0,0,0,3984,6878,8228,13763,3964,6830,8188,13667,20,48,40,96
1621899451,0,0,0,0,0,4004,6926,8268,13859,3984,6878,8228,13763,20,48,40,96
1621899452,0,0,0,0,0,4019,6962,8298,13931,4004,6926,8268,13859,15,36,30,72
1621899453,0,0,0,0,0,4039,7010,8338,14027,4019,6962,8298,13931,20,48,40,96
1621899454,0,0,0,0,0,4054,7046,8368,14099,4039,7010,8338,14027,15,36,30,72
1621899455,0,0,0,0,0,4075,7093,8410,14193,4054,7046,8368,14099,21,47,42,94
1621899456,0,0,0,0,0,4094,7141,8448,14289,4075,7093,8410,14193,19,48,38,96
1621899457,0,0,0,0,0,4109,7177,8478,14361,4094,7141,8448,14289,15,36,30,72
1621899458,0,0,0,0,0,4130,7227,8520,14461,4109,7177,8478,14361,21,50,42,100
1621899459,0,0,0,0,0,4145,7263,8550,14533,4130,7227,8520,14461,15,36,30,72
1621899460,0,0,0,0,0,4165,7311,8590,14629,4145,7263,8550,14533,20,48,40,96
1621899461,0,0,0,0,0,4180,7347,8620,14701,4165,7311,8590,14629,15,36,30,72
1621899462,0,0,0,0,0,4200,7395,8660,14797,4180,7347,8620,14701,20,48,40,96
1621899463,0,0,0,0,0,4220,7443,8700,14893,4200,7395,8660,14797,20,48,40,96
1621899464,0,0,0,0,0,4235,7479,8730,14965,4220,7443,8700,14893,15,36,30,72
1621899465,0,0,0,0,0,4255,7526,8770,15059,4235,7479,8730,14965,20,47,40,94
1621899466,0,0,0,0,0,4269,7562,8798,15131,4255,7526,8770,15059,14,36,28,72
1621899467,0,0,0,0,0,4278,7611,8849,15229,4269,7562,8798,15131,9,49,51,98
1621899468,0,0,0,0,0,4294,7656,8885,15319,4278,7611,8849,15229,16,45,36,90
1621899469,0,0,0,0,0,4314,7692,8925,15391,4294,7656,8885,15319,20,36,40,72
1621899470,0,0,0,0,0,4338,7738,8973,15484,4314,7692,8925,15391,24,46,48,93
1621899471,0,0,0,0,0,4345,7786,9011,15580,4338,7738,8973,15484,7,48,38,96
1621899472,0,0,0,0,0,4355,7822,9041,15652,4345,7786,9011,15580,10,36,30,72
1621899473,0,0,0,0,0,4376,7870,9081,15748,4355,7822,9041,15652,21,48,40,96
1621899474,0,0,0,0,0,4387,7895,9103,15799,4376,7870,9081,15748,11,25,22,51
1621899475,0,0,0,0,0,4412,7955,9153,15919,4387,7895,9103,15799,25,60,50,120
1621899476,0,0,0,0,0,4427,7991,9183,15991,4412,7955,9153,15919,15,36,30,72
